品目名／産地,数量(kg),価格(円/kg),対前日比
数量(％),価格(％)
野菜総量,"1,149,087",242,105.1,109.5
長　野,"157,571",182,,
茨　城,"142,061",237,,
群　馬,"126,119",222,,
千　葉,"115,856",204,,
佐　賀,"100,548",92,,
青　森,"56,855",163,,
福　島,"46,890",276,,
だいこん,"68,306",95,106.4,99.0
青　森,"45,515",96,,
北海道,"8,630",110,,
千　葉,"4,770",53,,
かぶ,"7,951",143,80.9,99.3
埼　玉,"3,527",90,,
青　森,"2,154",220,,
千　葉,"1,709",163,,
にんじん,"54,314",117,138.9,104.5
千　葉,"46,184",118,,
ごぼう,"4,784",399,134.0,95.5
青　森,"2,986",375,,
群　馬,752,394,,
鹿児島,648,588,,
れんこん,982,893,110.8,78.9
熊　本,610,988,,
徳　島,272,581,,
はくさい,"57,700",79,111.1,88.8
長　野,"38,550",84,,
茨　城,"12,500",70,,
みずな,"4,757",448,98.4,108.0
茨　城,"4,523",449,,
こまつな,"14,012",267,134.7,100.4
茨　城,"8,850",263,,
埼　玉,"1,772",317,,
群　馬,"1,688",260,,
その他の菜類,275,317,60.2,112.4
ちんげんさい,"4,358",296,123.4,112.1
茨　城,"3,732",299,,
キャベツ,"119,255",89,99.8,91.8
群　馬,"49,150",101,,
茨　城,"37,760",79,,
秋　田,"13,450",90,,
ほうれんそう,"19,541",494,131.7,100.8
群　馬,"10,540",462,,
茨　城,"3,740",504,,
岩　手,"2,592",582,,
ねぎ,"29,657",408,101.9,95.1
茨　城,"15,141",370,,
千　葉,"5,964",400,,
北海道,"1,800",550,,
静　岡,"1,011",674,,
ふき,2,378,20.0,109.2
山　形,2,378,,
みつば,"1,557",288,90.1,104.0
千　葉,550,162,,
茨　城,370,385,,
埼　玉,280,295,,
愛　知,203,391,,
しゅんぎく,499,597,83.2,85.3
茨　城,149,550,,
岩　手,138,493,,
千　葉,126,698,,
にら,"6,605",606,90.9,99.5
高　知,"2,075",608,,
栃　木,"1,687",648,,
山　形,992,602,,
茨　城,940,546,,
セルリー,"5,599",273,152.8,95.5
長　野,"5,480",272,,
アスパラガス,"5,018","1,428",134.5,100.1
佐　賀,"1,445","1,426",,
熊　本,"1,052","1,365",,
栃　木,761,"1,518",,
秋　田,417,"1,458",,
長　崎,405,"1,381",,
　　うち輸入,2,"3,240",1.8,274.8
カリフラワー,"1,824",283,77.0,112.7
長　野,"1,326",339,,
茨　城,498,134,,
ブロッコリー,"17,101",490,103.9,101.4
長　野,"13,148",505,,
北海道,"3,024",459,,
　　うち輸入,509,375,101.8,103.6
レタス,"111,327",141,147.9,96.6
長　野,"83,253",142,,
群　馬,"22,822",124,,
パセリ,507,"1,084",110.5,95.3
千　葉,230,780,,
茨　城,159,"1,205",,
長　野,82,"1,168",,
きゅうり,"76,654",304,172.0,87.6
福　島,"27,390",331,,
埼　玉,"8,988",277,,
群　馬,"7,325",290,,
山　形,"6,641",359,,
栃　木,"4,220",282,,
かぼちゃ,"29,737",196,87.3,105.4
神奈川,"3,674",373,,
鹿児島,"3,190",179,,
群　馬,"2,210",313,,
栃　木,"1,392",301,,
長　野,"1,285",330,,
　　うち輸入,"16,913",121,83.6,100.8
なす,"37,212",403,96.5,105.2
群　馬,"7,760",501,,
高　知,"6,702",389,,
福　岡,"5,849",427,,
熊　本,"4,909",354,,
茨　城,"4,276",232,,
トマト,"62,375",327,142.2,111.6
栃　木,"13,743",331,,
神奈川,"7,246",259,,
熊　本,"6,956",310,,
北海道,"5,897",408,,
千　葉,"5,583",285,,
ミニトマト,"15,356",527,109.0,106.5
愛　知,"5,076",567,,
熊　本,"2,529",290,,
茨　城,"1,770",510,,
静　岡,"1,399",518,,
千　葉,"1,322",539,,
ピーマン,"20,908",418,112.6,102.7
茨　城,"11,382",419,,
高　知,"1,785",393,,
岩　手,"1,658",537,,
熊　本,"1,555",447,,
宮　崎,617,528,,
ししとう,904,"1,308",86.9,101.2
高　知,446,"1,219",,
千　葉,367,"1,409",,
スイトコーン,"43,655",269,154.8,102.7
茨　城,"14,790",273,,
千　葉,"10,775",277,,
埼　玉,"5,400",252,,
栃　木,"4,525",273,,
さやいんげん,"2,408",793,98.3,99.2
茨　城,"1,225",785,,
千　葉,302,740,,
長　崎,260,744,,
福　島,213,"1,106",,
さやえんどう,"1,860","1,191",105.2,105.4
秋　田,782,"1,172",,
岩　手,471,"1,484",,
青　森,292,"1,377",,
　　うち輸入,226,402,127.0,106.1
実えんどう,15,"1,080",36.6,103.8
長　野,15,"1,080",,
そらまめ,"5,188",393,146.6,84.7
秋　田,"5,188",393,,
えだまめ,"6,816",995,112.2,97.8
埼　玉,"3,101",942,,
群　馬,"2,741","1,050",,
かんしょ,"20,266",198,108.4,105.3
千　葉,"16,340",186,,
ばれいしょ,"53,111",71,67.0,154.3
長　崎,"24,950",55,,
茨　城,"9,452",68,,
熊　本,"7,750",79,,
静　岡,"7,032",96,,
さといも,"1,285",404,62.3,95.5
千　葉,985,384,,
鹿児島,125,674,,
やまのいも,"13,612",351,117.0,102.9
北海道,"10,020",324,,
青　森,"2,120",311,,
たまねぎ,"135,137",72,67.1,112.5
佐　賀,"98,220",68,,
香　川,"10,000",80,,
　　うち輸入,"3,630",92,55.9,148.4
にんにく,"1,513",731,74.6,81.4
青　森,508,"1,522",,
千　葉,4,988,,
　　うち輸入,"1,001",329,78.1,101.5
しょうが,"8,082",712,113.9,95.3
高　知,"5,905",728,,
熊　本,493,878,,
静　岡,344,952,,
　　うち輸入,985,322,110.3,100.6
生しいたけ,"7,067",905,125.5,101.2
秋　田,"3,190","1,048",,
岩　手,"2,537",743,,
　　うち輸入,286,552,150.5,97.2
なめこ,"3,342",394,99.9,106.8
長　野,"1,099",316,,
山　形,925,433,,
群　馬,572,409,,
新　潟,520,501,,
えのきだけ,"6,720",222,88.6,113.8
長　野,"5,502",226,,
しめじ,"6,407",332,73.0,99.7
長　野,"4,728",345,,
新　潟,914,318,,
その他の野菜,"53,549",561,118.5,94.8
輸入野菜計,"35,471",190,82.3,113.1
他の輸入野菜,"11,918",274,90.3,111.8
"
                    ［利用上の注意］
                    １．　上記の数値については、日々の確定値として収集してい
                    　　るが、その後修正することも予想されることから、数値の
                    　　利用にあたっては十分に留意されたい。
                    ２．　産地については、品目毎に卸売数量の多い都道府県から
                    　　順に配列し、８０％を上回るまでの産地のうち、卸売数量

                    　　の多い都道府県から最大５産地を掲載する。
                    ３．　以上に掲げる品目のうち、以下の「品目名」については
                    　　略称名である。
                    　　　ししとう　　・・・ししとうがらし
                    　　　スイトコーン・・・スイートコーン
                    　　　ネーブル　　・・・ネーブルオレンジ

                    　　　ジョナゴルド・・・ジョナゴールド
                    　　　アンデス　　・・・アンデスメロン
                    　　　キウイフルツ・・・キウイフルーツ
                    　　　パイナップル・・・パインアップル
                    　　　グレプフルツ・・・グレープフルーツ
                    　　　輸入キウイ　・・・輸入キウイフルーツ"
